Komoditas (Rp);date_raw;price_raw;date;price;price_num
Beras Kualitas Bawah I;02/05/2024;14,1;05/02/2024;14,1;14.1
Beras;02/05/2024;15,2;05/02/2024;15,2;15.2
Beras Kualitas Bawah I;02/07/2024;13,9;07/02/2024;13,9;13.9
Beras Kualitas Bawah II;02/07/2024;13,9;07/02/2024;13,9;13.9
Beras Kualitas Medium I;02/07/2024;14,7;07/02/2024;14,7;14.7
Beras Kualitas Medium II;02/07/2024;15,3;07/02/2024;15,3;15.3
Beras Kualitas Super I;02/07/2024;16,5;07/02/2024;16,5;16.5
Beras Kualitas Super II;02/07/2024;15,65;07/02/2024;15,65;15.65
Beras;02/07/2024;15;07/02/2024;15;15.0
Beras;02/08/2024;15;08/02/2024;15;15.0
Beras Kualitas Super II;02/08/2024;15,9;08/02/2024;15,9;15.9
Beras Kualitas Super I;02/08/2024;16,5;08/02/2024;16,5;16.5
Beras Kualitas Medium II;02/08/2024;15,3;08/02/2024;15,3;15.3
Beras Kualitas Medium I;02/08/2024;14,7;08/02/2024;14,7;14.7
Beras Kualitas Bawah II;02/08/2024;13,9;08/02/2024;13,9;13.9
Beras Kualitas Bawah I;02/08/2024;13,8;08/02/2024;13,8;13.8
Beras Kualitas Medium II;02/09/2024;15,2;09/02/2024;15,2;15.2
Beras Kualitas Bawah II;02/09/2024;14;09/02/2024;14;14.0
Beras Kualitas Bawah I;02/09/2024;13,9;09/02/2024;13,9;13.9
Beras;02/09/2024;15;09/02/2024;15;15.0
Beras Kualitas Medium I;02/09/2024;14,7;09/02/2024;14,7;14.7
Beras Kualitas Super I;02/09/2024;16,3;09/02/2024;16,3;16.3
Beras Kualitas Super II;02/09/2024;15,75;09/02/2024;15,75;15.75
Beras Kualitas Bawah II;02/10/2024;14,1;10/02/2024;14,1;14.1
Beras Kualitas Super II;02/10/2024;16;10/02/2024;16;16.0
Beras Kualitas Super I;02/10/2024;16,3;10/02/2024;16,3;16.3
Beras Kualitas Medium II;02/10/2024;15,35;10/02/2024;15,35;15.35
Beras Kualitas Medium I;02/10/2024;14,7;10/02/2024;14,7;14.7
Beras Kualitas Bawah I;02/10/2024;13,9;10/02/2024;13,9;13.9
Beras;02/10/2024;15,05;10/02/2024;15,05;15.05
Beras Kualitas Super II;02/12/2024;16;12/02/2024;16;16.0
Beras Kualitas Bawah I;02/12/2024;13,9;12/02/2024;13,9;13.9
Beras Kualitas Bawah II;02/12/2024;14;12/02/2024;14;14.0
Beras Kualitas Medium I;02/12/2024;14,7;12/02/2024;14,7;14.7
